anno,mese,giorno,Pioggia mm,Temp. min gradi C,Temp. med gradi C,Temp. max gradi C,Umidita' min %,Umidita' med %,Umidita' max %,Vento med km/h,Vento max km/h,Dir. V. max gradi N,Radiaz. KJ/m2,Press. med hPa
2022,4,22,10.2,11.3,12.9,17.0,62.0,79.0,95.0,22.0,73.0,52.0,5413.0,1001.3
2022,4,23,0.2,11.0,13.3,16.0,59.0,85.0,95.0,9.0,34.0,145.0,14678.0,1007.1
2022,4,24,2.9,11.7,13.4,15.8,65.0,77.0,88.0,13.0,51.0,245.0,16232.0,1005.9
2022,4,25,0.0,11.5,13.4,14.8,69.0,77.0,85.0,10.0,33.0,303.0,17728.0,1010.6
2022,4,26,2.4,13.1,14.3,16.8,63.0,78.0,88.0,11.0,37.0,282.0,12455.0,1013.8
2022,4,27,0.2,12.4,15.4,19.7,32.0,55.0,83.0,26.0,60.0,65.0,22930.0,1018.1
2022,4,28,0.0,12.8,17.2,21.3,25.0,38.0,60.0,21.0,55.0,89.0,27179.0,1022.7
2022,4,29,0.0,14.2,17.8,21.7,23.0,34.0,54.0,18.0,60.0,57.0,27157.0,1023.0
2022,4,30,0.0,14.3,16.8,20.4,28.0,45.0,68.0,9.0,27.0,128.0,26767.0,1018.5
2022,5,1,5.1,13.5,16.5,20.6,34.0,55.0,80.0,24.0,68.0,65.0,10408.0,1014.6
2022,5,2,0.0,14.2,17.6,21.5,38.0,54.0,68.0,21.0,51.0,101.0,19685.0,1012.9
2022,5,3,0.0,14.9,17.6,20.3,37.0,52.0,72.0,8.0,30.0,100.0,24485.0,1013.8
2022,5,4,0.0,13.8,16.2,18.3,49.0,65.0,80.0,7.0,19.0,348.0,25992.0,1017.0
2022,5,5,0.0,14.1,16.1,17.2,51.0,68.0,78.0,6.0,20.0,324.0,15815.0,1019.5
2022,5,6,3.5,14.0,15.4,17.4,68.0,82.0,90.0,9.0,27.0,108.0,5833.0,1019.8
2022,5,7,1.3,14.1,16.8,19.7,60.0,76.0,93.0,12.0,39.0,72.0,11004.0,1017.8
2022,5,8,0.2,15.5,19.4,22.8,35.0,56.0,72.0,30.0,54.0,63.0,18074.0,1017.9
2022,5,9,0.1,16.0,20.0,24.4,40.0,54.0,76.0,18.0,57.0,61.0,16487.0,1020.9
2022,5,10,0.0,16.3,19.5,21.7,44.0,61.0,76.0,6.0,22.0,94.0,27269.0,1019.6
2022,5,11,0.0,16.3,19.2,23.0,43.0,68.0,81.0,4.0,13.0,345.0,27357.0,1019.1
2022,5,12,0.0,17.1,19.1,21.2,57.0,73.0,85.0,8.0,27.0,323.0,27547.0,1019.2
2022,5,13,0.0,17.6,19.8,22.8,59.0,73.0,83.0,6.0,19.0,146.0,25032.0,1017.7
2022,5,14,0.0,18.6,22.5,27.5,34.0,61.0,86.0,9.0,35.0,106.0,22618.0,1016.8
2022,5,15,0.0,20.3,22.4,25.3,49.0,61.0,76.0,5.0,14.0,285.0,28184.0,1016.5
2022,5,16,1.0,19.6,21.4,23.2,59.0,70.0,84.0,9.0,39.0,307.0,28184.0,1017.4
2022,5,17,0.0,19.3,21.5,23.6,58.0,75.0,84.0,5.0,18.0,139.0,25857.0,1016.5
2022,5,18,0.0,20.2,22.8,26.0,31.0,43.0,66.0,22.0,54.0,68.0,27532.0,1021.4
2022,5,19,0.0,18.2,19.7,22.3,21.0,52.0,69.0,9.0,41.0,83.0,29747.0,1025.9
2022,5,20,0.0,16.8,19.6,21.5,44.0,58.0,70.0,6.0,14.0,272.0,28262.0,1023.9
2022,5,21,0.0,18.6,20.9,24.4,41.0,67.0,89.0,6.0,19.0,221.0,26646.0,1016.4
