anno,mese,giorno,Pioggia mm,Temp. min gradi C,Temp. med gradi C,Temp. max gradi C,Umidita' min %,Umidita' med %,Umidita' max %,Vento med km/h,Vento max km/h,Dir. V. max gradi N,Radiaz. KJ/m2,Press. med hPa
2023,10,29,1.9,16.3,17.8,19.3,71.0,78.0,90.0,8.0,23.0,125.0,4650.0,1013.1
2023,10,30,16.0,17.9,20.0,21.8,58.0,74.0,89.0,19.0,60.0,136.0,3697.0,1009.4
2023,10,31,19.8,12.7,17.0,20.8,54.0,74.0,92.0,18.0,68.0,238.0,3306.0,1005.6
2023,11,1,0.0,12.8,16.3,19.1,66.0,77.0,87.0,9.0,31.0,233.0,7630.0,1012.3
2023,11,2,24.8,14.5,17.2,19.5,69.0,80.0,93.0,22.0,72.0,143.0,2847.0,998.8
2023,11,3,9.3,11.9,15.1,17.5,51.0,72.0,94.0,23.0,76.0,238.0,4033.0,989.3
2023,11,4,5.4,11.7,13.8,16.3,63.0,74.0,88.0,11.0,45.0,150.0,9672.0,996.5
2023,11,5,4.1,13.0,16.2,18.7,59.0,74.0,87.0,19.0,71.0,214.0,8231.0,993.4
2023,11,6,0.0,14.7,16.5,18.6,54.0,67.0,75.0,12.0,28.0,166.0,9449.0,1010.8
2023,11,7,11.4,12.0,14.9,17.7,65.0,75.0,86.0,10.0,40.0,345.0,5341.0,1015.4
2023,11,8,0.0,12.0,13.9,16.9,60.0,77.0,86.0,8.0,22.0,89.0,9633.0,1019.0
2023,11,9,3.3,11.5,13.2,15.4,69.0,78.0,85.0,9.0,22.0,302.0,6847.0,1016.7
2023,11,10,38.0,11.4,12.9,14.9,82.0,87.0,91.0,9.0,36.0,142.0,2782.0,1005.1
2023,11,11,3.1,9.3,11.4,13.8,54.0,72.0,88.0,11.0,64.0,62.0,9458.0,1006.0
2023,11,12,0.0,10.0,12.7,15.2,68.0,72.0,81.0,7.0,21.0,319.0,4704.0,1010.4
2023,11,13,0.0,10.2,13.1,14.9,72.0,79.0,85.0,8.0,22.0,122.0,4826.0,1016.0
2023,11,14,0.1,12.5,13.9,14.9,82.0,87.0,92.0,6.0,26.0,310.0,1159.0,1013.5
2023,11,15,0.0,11.5,13.7,15.3,76.0,88.0,91.0,6.0,20.0,287.0,4250.0,1014.0
2023,11,16,0.0,11.9,15.0,17.6,60.0,71.0,85.0,8.0,30.0,241.0,4250.0,1015.6
2023,11,17,0.0,12.4,14.0,16.4,28.0,61.0,85.0,11.0,32.0,55.0,6698.0,1011.7
2023,11,18,0.0,9.1,12.4,16.3,29.0,49.0,69.0,8.0,32.0,107.0,8204.0,1021.8
2023,11,19,0.0,10.3,12.6,15.1,47.0,64.0,74.0,10.0,25.0,218.0,6467.0,1019.1
2023,11,20,0.0,11.3,13.0,14.0,61.0,73.0,80.0,5.0,13.0,95.0,2031.0,1014.3
2023,11,21,0.1,12.7,13.7,15.1,58.0,68.0,83.0,34.0,81.0,79.0,2685.0,1008.0
2023,11,22,0.3,9.2,12.5,14.6,44.0,58.0,68.0,50.0,96.0,70.0,5984.0,1014.7
2023,11,23,0.0,8.2,10.9,14.6,40.0,55.0,68.0,22.0,92.0,65.0,8708.0,1019.1
2023,11,24,0.0,9.0,11.2,13.6,58.0,69.0,76.0,13.0,65.0,84.0,4916.0,1003.3
2023,11,25,0.0,5.4,8.8,11.4,21.0,42.0,69.0,22.0,55.0,327.0,8658.0,1002.9
2023,11,26,0.0,5.2,9.0,12.9,21.0,38.0,57.0,10.0,30.0,92.0,8432.0,1011.3
2023,11,27,0.8,7.4,9.9,12.6,38.0,65.0,88.0,10.0,33.0,213.0,2310.0,1009.1
2023,11,28,6.4,8.2,9.2,10.2,62.0,80.0,91.0,9.0,21.0,295.0,1262.0,995.8
2023,11,29,0.1,8.1,9.5,12.5,27.0,50.0,65.0,17.0,49.0,87.0,7821.0,1006.9
2023,11,30,36.8,8.5,9.5,11.2,62.0,86.0,94.0,9.0,21.0,149.0,450.0,1004.5
2023,12,1,9.3,9.1,13.6,18.5,70.0,88.0,96.0,11.0,43.0,139.0,551.0,998.6
2023,12,2,18.5,5.6,13.3,18.2,50.0,74.0,93.0,29.0,82.0,64.0,2789.0,997.4
2023,12,3,0.7,3.7,6.1,7.3,43.0,60.0,88.0,40.0,80.0,76.0,7073.0,1019.7
2023,12,4,1.5,3.0,5.3,7.9,31.0,55.0,86.0,9.0,33.0,102.0,4983.0,1021.5
2023,12,5,7.5,4.9,7.9,10.2,64.0,80.0,93.0,12.0,43.0,72.0,1609.0,1011.6
2023,12,6,0.1,7.6,8.5,9.8,57.0,63.0,71.0,17.0,67.0,70.0,3910.0,1012.4
2023,12,7,0.0,6.7,9.0,12.6,41.0,60.0,71.0,7.0,21.0,132.0,6985.0,1019.1
2023,12,8,0.0,5.9,8.6,11.4,54.0,67.0,75.0,7.0,32.0,105.0,5327.0,1016.9
2023,12,9,0.6,6.5,8.6,11.8,53.0,69.0,81.0,12.0,37.0,114.0,5966.0,1016.2
2023,12,10,9.0,6.8,8.1,9.8,80.0,86.0,91.0,8.0,27.0,334.0,2950.0,1015.1
2023,12,11,0.0,7.0,11.0,13.8,74.0,84.0,90.0,8.0,40.0,222.0,2333.0,1013.4
2023,12,12,0.6,10.5,11.5,12.4,90.0,92.0,94.0,5.0,17.0,328.0,782.0,1011.7
2023,12,13,24.3,9.2,10.6,11.5,78.0,91.0,95.0,8.0,32.0,94.0,343.0,1002.1
2023,12,14,0.0,9.2,11.1,12.7,61.0,71.0,79.0,11.0,37.0,75.0,5547.0,1011.4
2023,12,15,0.0,8.1,10.9,13.2,41.0,54.0,66.0,26.0,66.0,72.0,6977.0,1027.9
2023,12,16,0.0,7.6,9.3,12.0,35.0,54.0,67.0,26.0,67.0,64.0,6955.0,1038.1
2023,12,17,0.0,7.8,9.9,12.9,44.0,60.0,77.0,8.0,39.0,111.0,6759.0,1038.2
2023,12,18,0.0,7.3,9.3,12.0,69.0,80.0,90.0,3.0,10.0,61.0,5762.0,1033.3
2023,12,19,0.0,7.3,9.6,12.5,71.0,82.0,90.0,4.0,12.0,300.0,6694.0,1024.3
2023,12,20,0.0,7.2,10.7,13.3,49.0,68.0,81.0,6.0,35.0,103.0,2947.0,1013.8
2023,12,21,0.0,8.6,10.7,12.7,52.0,65.0,83.0,9.0,35.0,85.0,4944.0,1007.6
2023,12,22,0.0,9.3,10.7,13.2,57.0,76.0,86.0,9.0,31.0,219.0,5851.0,1000.8
2023,12,23,0.0,8.4,11.0,12.8,61.0,73.0,82.0,6.0,18.0,315.0,6189.0,1006.0
